table_name,column_name,data_type,is_nullable,column_default
decisions,id,uuid,NO,gen_random_uuid()
decisions,game_id,uuid,NO,null
decisions,player_id,uuid,NO,null
decisions,day,integer,NO,null
decisions,block_id,text,NO,null
decisions,option_id,text,YES,null
decisions,custom_text,text,YES,null
decisions,kpi_delta,jsonb,YES,null
decisions,decision_metadata,jsonb,YES,'{}'::jsonb
decisions,created_at,timestamp with time zone,NO,now()
decisions,current_day,integer,YES,null
decisions,kpi_values,jsonb,YES,null
decisions,settings,jsonb,YES,null
decisions,features,jsonb,YES,null
events,id,uuid,NO,gen_random_uuid()
events,game_id,uuid,NO,null
events,day,integer,YES,null
events,type,text,NO,null
events,content,jsonb,NO,'{}'::jsonb
events,visibility,text,YES,'all'::text
events,visible_to_roles,ARRAY,YES,"ARRAY['CEO'::text, 'CFO'::text, 'OPS'::text, 'HRLEGAL'::text]"
events,created_at,timestamp with time zone,NO,now()
events,from_day,integer,YES,null
events,to_day,integer,YES,null
events,kpi,jsonb,YES,null
events,kpi_delta,jsonb,YES,null
events,player_decisions,jsonb,YES,null
events,criteria,jsonb,YES,null
events,decision_count,integer,YES,null
events,timestamp,timestamp with time zone,YES,now()
game_admin_settings,game_id,uuid,NO,null
game_admin_settings,settings,jsonb,NO,"'{""difficulty"": ""normal"", ""randomNews"": true, ""insolvencyMode"": ""hard"", ""scoringWeights"": {""bankTrust"": 25, ""customerLoyalty"": 25, ""publicPerception"": 25, ""workforceEngagement"": 25}, ""adaptiveDifficultyLight"": false}'::jsonb"
game_admin_settings,invariants,jsonb,YES,'{}'::jsonb
game_admin_settings,seed,bigint,NO,floor((random() * (1000000)::double precision))
game_admin_settings,pending_draw_eur,numeric,YES,0
game_admin_settings,effective_day,bigint,YES,1
game_admin_settings,version,bigint,NO,0
game_admin_settings,updated_by,uuid,YES,null
game_admin_settings,updated_at,timestamp with time zone,NO,now()
game_admin_settings,auth_mode,text,NO,'name-only'::text
game_admin_settings,features,jsonb,NO,'{}'::jsonb
game_admin_settings,preset_credentials,jsonb,NO,'{}'::jsonb
game_injected_news,id,bigint,NO,nextval('game_injected_news_id_seq'::regclass)
game_injected_news,game_id,uuid,NO,null
game_injected_news,day,integer,NO,null
game_injected_news,title,text,NO,null
game_injected_news,content,text,YES,null
game_injected_news,source,text,YES,null
game_injected_news,severity,text,YES,null
game_injected_news,roles,ARRAY,YES,null
game_injected_news,created_by,uuid,YES,null
game_injected_news,created_at,timestamp with time zone,NO,now()
game_scenario_overrides,game_id,uuid,NO,null
game_scenario_overrides,overrides,jsonb,NO,'{}'::jsonb
game_scenario_overrides,updated_by,uuid,YES,null
game_scenario_overrides,updated_at,timestamp with time zone,NO,now()
game_scenario_overrides,action,text,NO,'default_action'::text
game_scenario_overrides,id,uuid,NO,gen_random_uuid()
game_scenario_overrides,created_at,timestamp with time zone,YES,now()
game_scenario_overrides,created_by,uuid,YES,null
game_state_snapshots,id,uuid,NO,gen_random_uuid()
game_state_snapshots,game_id,uuid,NO,null
game_state_snapshots,day,integer,NO,null
game_state_snapshots,state,jsonb,NO,null
game_state_snapshots,created_at,timestamp with time zone,NO,now()
game_state_snapshots,kpi,jsonb,YES,null
game_state_snapshots,decisions,jsonb,YES,null
game_state_snapshots,timestamp,timestamp with time zone,YES,now()
game_state_snapshots,criteria,jsonb,YES,null
game_state_snapshots,type,text,YES,null
games,id,uuid,NO,gen_random_uuid()
games,name,text,NO,null
games,created_by,uuid,NO,null
games,created_at,timestamp with time zone,NO,now()
games,state,text,NO,'lobby'::text
games,current_day,integer,NO,1
games,kpi_values,jsonb,NO,"'{""cashEUR"": 100000, ""bankTrust"": 50, ""profitLossEUR"": 0, ""customerLoyalty"": 50, ""publicPerception"": 50, ""workforceEngagement"": 50}'::jsonb"
games,max_players,integer,YES,4
games,settings,jsonb,YES,'{}'::jsonb
games,start_at,timestamp with time zone,YES,null
games,join_code,uuid,NO,gen_random_uuid()
games,updated_at,timestamp with time zone,NO,now()
games,session_code,text,YES,null
games,host_id,uuid,YES,null
games,status,text,YES,'waiting'::text
games,difficulty,text,YES,'medium'::text
games,game_mode,text,YES,'standard'::text
games,scenario_data,jsonb,YES,'{}'::jsonb
games,theme,text,YES,'default'::text
messages,id,uuid,NO,gen_random_uuid()
messages,game_id,uuid,NO,null
messages,player_id,uuid,YES,null
messages,content,text,NO,null
messages,message_type,text,YES,'chat'::text
messages,metadata,jsonb,YES,'{}'::jsonb
messages,created_at,timestamp with time zone,NO,now()
messages,sender_uid,uuid,YES,null
messages,sent_at,timestamp with time zone,YES,now()
players,id,uuid,NO,gen_random_uuid()
players,game_id,uuid,NO,null
players,user_id,uuid,NO,null
players,is_gm,boolean,NO,false
players,name,text,NO,null
players,role,text,YES,null
players,joined_at,timestamp with time zone,NO,now()
players,last_seen_at,timestamp with time zone,YES,now()
players,is_active,boolean,YES,true
players,ready,boolean,YES,false
players,last_seen,timestamp with time zone,YES,now()
players,display_name,text,NO,''::text
players,game_state,jsonb,YES,'{}'::jsonb
players,is_ready,boolean,YES,false
players,status,text,YES,'lobby'::text
players,left_at,timestamp with time zone,YES,null
trainer_memberships,game_id,uuid,NO,null
trainer_memberships,user_id,uuid,NO,null
trainer_memberships,created_at,timestamp with time zone,NO,now()